mtk,inggris,agama,fisika,kimia,biologi,ekonomi,minat_teknik,minat_kesehatan,minat_bisnis,minat_pendidikan,hafalan,prodi
79,73,50,83,56,63,71,4,2,3,1,0,S1 Informatika
81,64,77,77,67,50,60,4,1,2,1,0,S1 Teknik Elektro
68,67,52,78,80,70,50,4,2,1,2,0,S1 Teknik Elektro
65,72,93,70,50,50,57,2,1,4,1,0,S1 Akuntansi
50,73,80,50,71,67,71,1,2,4,2,0,S1 Agribisnis
85,97,86,88,90,90,85,3,3,3,3,0,S1 Teknologi Hasil Pertanian
64,90,50,55,68,76,74,1,2,2,1,0,S1 Agribisnis
67,97,66,65,83,68,82,4,2,1,2,0,S1 Informatika
77,68,62,50,83,73,73,2,2,5,3,0,S1 Manajemen
84,51,66,56,94,78,61,1,4,1,3,0,S1 Farmasi
73,57,80,71,55,50,50,5,2,1,1,0,S1 Informatika
60,74,50,50,74,66,76,3,1,5,2,0,S1 Manajemen
61,61,87,62,73,50,75,3,1,3,4,0,S1 Pendidikan Bahasa Inggris
78,76,50,88,51,57,50,2,2,5,1,0,S1 Akuntansi
68,66,66,50,58,50,79,2,1,5,2,0,S1 Manajemen
82,73,67,73,50,50,83,4,1,2,2,0,S1 Informatika
67,84,72,66,50,58,50,5,1,1,2,0,S1 Informatika
50,77,66,50,51,52,82,1,1,4,2,0,S1 Akuntansi
53,55,57,50,62,81,80,2,2,3,3,0,S1 Agribisnis
53,55,58,50,50,67,85,1,1,1,4,0,S1 PGSD
91,73,57,50,58,79,78,1,2,4,2,0,S1 Akuntansi
86,77,65,93,81,77,54,3,1,3,1,0,S1 Teknik Elektro
64,73,85,50,73,61,50,2,4,2,4,0,S1 PGSD
50,85,69,66,50,50,55,1,3,3,5,0,S1 Pendidikan Bahasa Inggris
51,50,65,76,93,76,53,1,4,2,3,0,S1 Farmasi
72,85,69,78,50,53,56,1,2,2,4,0,S1 Pendidikan Bahasa Inggris
74,55,50,71,50,50,70,4,2,1,1,0,S1 Informatika
80,93,66,65,50,50,62,2,1,5,2,1,S1 Akuntansi
95,86,87,87,88,96,93,1,1,1,4,0,S1 Studi Islam Interdisipliner
73,81,90,67,60,71,58,1,3,1,4,0,S1 Pendidikan Bahasa Inggris
85,76,50,81,59,50,73,4,1,1,2,0,S1 Teknik Elektro
50,70,90,55,50,76,84,1,2,2,3,1,S1 Studi Islam Interdisipliner
67,65,64,50,50,50,50,1,2,4,4,0,S1 PGSD
68,80,63,66,86,72,66,1,4,2,2,0,S1 Farmasi
59,67,57,69,53,74,50,2,3,3,2,1,S1 Teknologi Hasil Pertanian
59,62,68,64,76,64,74,1,2,1,4,0,S1 PGSD
67,61,69,51,81,91,50,2,5,2,1,0,S1 Farmasi
67,50,80,50,62,60,64,1,2,2,3,1,S1 Studi Islam Interdisipliner
89,50,67,50,83,80,52,1,5,2,3,0,S1 Farmasi
63,50,50,50,71,55,70,1,2,4,2,0,S1 Akuntansi
66,84,69,52,78,67,71,1,4,5,2,0,S1 Farmasi
81,68,67,56,85,90,53,1,3,3,1,0,S1 Farmasi
63,64,55,59,63,65,62,1,2,1,4,0,S1 Pendidikan Bahasa Inggris
75,51,58,71,71,80,67,4,3,1,2,0,S1 Teknologi Hasil Pertanian
60,62,62,70,65,88,73,2,3,4,1,1,S1 Agribisnis
64,80,63,50,61,77,53,1,1,2,4,1,S1 Pendidikan Bahasa Inggris
60,68,79,56,61,54,56,1,1,2,4,0,S1 Pendidikan Bahasa Inggris
78,50,59,52,88,50,53,2,1,4,1,0,S1 Akuntansi
69,57,55,58,56,78,85,1,3,2,4,0,S1 Agribisnis
59,57,72,71,68,85,64,3,3,2,1,0,S1 Teknologi Hasil Pertanian
70,64,88,50,57,61,70,1,1,2,4,0,S1 PGSD
76,83,63,79,54,54,50,2,1,5,2,0,S1 Akuntansi
62,78,67,68,58,57,57,5,1,1,2,0,S1 Informatika
74,50,54,54,75,75,50,1,2,4,1,0,S1 Akuntansi
60,54,50,62,91,61,80,3,3,1,1,0,S1 Teknologi Hasil Pertanian
55,69,66,54,66,50,54,3,3,1,2,1,S1 Teknologi Hasil Pertanian
60,62,62,64,63,50,53,5,1,2,1,0,S1 Informatika
80,74,92,72,53,50,50,2,3,5,1,1,S1 Akuntansi
74,50,61,60,50,64,80,2,3,3,3,0,S1 Agribisnis
52,66,70,77,56,50,50,2,1,4,2,0,S1 Manajemen
54,81,50,50,69,81,69,1,5,1,2,0,S1 Farmasi
50,80,67,62,57,50,90,2,2,2,4,0,S1 Pendidikan Bahasa Inggris
77,72,66,68,50,50,58,3,2,2,1,0,S1 Informatika
51,70,79,50,79,80,51,2,4,2,1,0,S1 Farmasi
85,50,76,52,57,55,61,1,2,1,4,0,S1 PGSD
61,66,60,71,72,78,50,3,3,2,1,0,S1 Teknologi Hasil Pertanian
50,68,53,50,50,52,92,1,1,4,2,0,S1 Akuntansi
67,59,62,67,91,67,89,1,1,4,2,0,S1 Akuntansi
82,83,80,67,50,50,64,3,2,3,1,0,S1 Informatika
81,50,50,51,85,50,82,3,1,3,1,0,S1 Informatika
63,65,67,54,63,79,52,2,4,3,3,0,S1 Teknologi Hasil Pertanian
50,83,79,50,72,50,54,1,2,2,2,1,S1 Studi Islam Interdisipliner
71,74,58,50,76,83,50,1,4,2,2,0,S1 Farmasi
84,50,51,50,86,65,62,2,4,2,2,0,S1 Farmasi
65,78,55,50,62,50,65,2,1,3,2,0,S1 Manajemen
82,83,61,62,53,63,59,1,2,2,3,0,S1 Pendidikan Bahasa Inggris
79,56,80,63,69,58,68,1,2,3,3,1,S1 Studi Islam Interdisipliner
54,66,82,69,56,56,71,2,2,1,3,0,S1 PGSD
50,51,82,59,58,52,60,1,1,3,3,1,S1 Studi Islam Interdisipliner
60,67,53,57,70,50,74,3,2,4,4,0,S1 Manajemen
59,74,55,50,67,50,85,1,1,4,2,0,S1 Akuntansi
76,82,65,70,67,50,50,4,1,3,1,0,S1 Informatika
73,50,67,85,81,60,70,4,3,2,1,0,S1 Teknik Elektro
67,56,62,50,81,89,63,1,1,2,5,0,S1 PGSD
69,88,60,62,50,73,65,1,1,5,1,0,S1 Akuntansi
56,50,62,51,72,80,63,1,3,4,3,0,S1 Agribisnis
74,70,69,60,59,54,51,1,1,2,4,1,S1 PGSD
68,50,83,50,78,50,61,1,3,2,2,1,S1 Studi Islam Interdisipliner
88,94,88,95,90,88,93,1,1,3,2,0,S1 Agribisnis
55,54,65,63,62,51,51,4,1,2,1,0,S1 Informatika
78,74,82,77,60,50,50,5,1,3,2,0,S1 Informatika
65,80,50,93,57,74,68,4,1,2,1,0,S1 Teknik Elektro
77,60,70,55,73,83,50,2,4,2,2,0,S1 Farmasi
69,50,75,50,62,85,70,1,3,4,2,0,S1 Agribisnis
72,62,72,83,67,65,56,4,1,1,3,0,S1 Teknik Elektro
73,64,53,50,50,50,86,1,1,5,2,0,S1 Akuntansi
56,69,77,63,50,52,50,1,1,5,1,0,S1 Akuntansi
81,80,73,50,61,51,50,1,2,1,4,0,S1 Pendidikan Bahasa Inggris
58,65,67,65,65,53,56,4,3,4,2,0,S1 Teknologi Hasil Pertanian
73,62,54,75,67,76,58,4,2,1,1,0,S1 Teknologi Hasil Pertanian
71,74,68,59,73,50,84,2,1,3,1,0,S1 Akuntansi
64,76,67,73,50,64,50,5,1,2,1,0,S1 Informatika
71,50,64,56,60,56,54,4,1,3,1,0,S1 Informatika
70,58,59,70,70,62,50,5,1,1,1,0,S1 Informatika
67,70,57,66,50,50,84,2,1,3,1,0,S1 Manajemen
68,52,50,89,75,50,52,4,1,1,1,0,S1 Teknik Elektro
68,82,76,53,56,99,87,3,2,3,2,0,S1 Teknologi Hasil Pertanian
73,64,61,82,59,53,79,4,2,2,1,0,S1 Teknik Elektro
73,51,83,50,55,57,80,1,2,3,4,1,S1 Studi Islam Interdisipliner
66,71,57,54,50,50,77,1,2,2,2,0,S1 Agribisnis
66,73,88,50,53,50,58,2,2,3,3,1,S1 Studi Islam Interdisipliner
65,65,73,50,50,70,78,2,1,4,1,0,S1 Manajemen
50,76,67,56,51,69,65,1,1,4,1,0,S1 Manajemen
64,66,60,51,67,53,58,1,2,3,3,0,S1 Pendidikan Bahasa Inggris
56,50,56,61,64,77,65,1,1,3,3,0,S1 Agribisnis
55,73,78,50,56,54,68,2,3,1,4,0,S1 PGSD
60,69,79,74,76,50,86,4,1,1,2,0,S1 Teknik Elektro
61,81,56,74,50,65,58,5,1,2,2,0,S1 Informatika
77,63,50,83,64,50,78,2,1,3,2,1,S1 Akuntansi
83,81,82,74,64,50,68,4,1,1,1,0,S1 Informatika
75,80,88,53,50,50,62,1,1,2,4,0,S1 Pendidikan Bahasa Inggris
75,79,71,81,95,77,50,3,3,2,1,0,S1 Teknologi Hasil Pertanian
95,90,88,86,91,94,97,5,1,2,1,0,S1 Teknik Elektro
61,55,78,55,95,80,51,1,3,1,2,0,S1 Farmasi
50,52,50,50,62,73,63,1,2,3,2,0,S1 Agribisnis
51,78,56,83,69,55,65,3,3,1,2,0,S1 Teknologi Hasil Pertanian
67,80,72,80,55,50,50,5,1,2,2,0,S1 Teknik Elektro
73,84,50,80,59,50,54,4,2,3,1,0,S1 Informatika
72,50,50,50,63,68,83,1,1,4,2,1,S1 Manajemen
70,66,72,85,50,50,50,4,2,3,2,0,S1 Informatika
65,57,50,87,71,57,74,3,2,3,2,0,S1 Teknik Elektro
50,85,74,50,55,50,68,1,2,2,4,0,S1 Pendidikan Bahasa Inggris
50,93,90,61,79,53,50,1,2,2,4,1,S1 Pendidikan Bahasa Inggris
66,50,53,72,71,88,67,3,3,1,2,0,S1 Teknologi Hasil Pertanian
62,68,87,50,50,55,66,2,2,2,3,1,S1 Studi Islam Interdisipliner
61,66,61,65,59,61,60,1,1,2,4,1,S1 Pendidikan Bahasa Inggris
87,82,55,59,56,50,50,4,2,3,1,0,S1 Teknik Elektro
50,86,65,50,59,50,50,1,2,2,3,0,S1 Pendidikan Bahasa Inggris
76,71,73,69,67,60,50,4,3,1,1,1,S1 Teknologi Hasil Pertanian
53,50,52,50,50,58,50,1,2,2,5,0,S1 PGSD
61,65,65,76,75,83,61,2,2,2,4,0,S1 PGSD
50,64,50,56,83,66,67,2,1,3,2,0,S1 Agribisnis
55,77,88,59,50,72,67,1,1,2,3,0,S1 Pendidikan Bahasa Inggris
72,68,59,77,53,55,50,4,1,1,1,0,S1 Teknik Elektro
54,68,80,50,50,61,72,3,2,3,3,1,S1 Pendidikan Bahasa Inggris
50,64,50,68,71,67,94,3,3,3,1,0,S1 Teknologi Hasil Pertanian
71,65,50,68,53,50,54,5,2,1,1,0,S1 Informatika
71,57,50,68,50,75,65,5,1,2,1,0,S1 Informatika
56,88,79,64,75,56,83,3,1,4,1,0,S1 Manajemen
73,79,67,69,50,50,50,4,1,1,1,0,S1 Informatika
63,63,56,69,69,69,52,1,1,2,3,1,S1 PGSD
62,63,50,50,50,75,90,1,2,4,2,0,S1 Akuntansi
72,82,55,69,73,72,77,5,2,2,3,0,S1 Informatika
64,76,59,80,72,50,54,2,1,5,1,0,S1 Akuntansi
50,70,83,50,51,83,71,1,1,3,4,1,S1 Studi Islam Interdisipliner
51,60,84,50,50,50,68,1,2,2,3,1,S1 Studi Islam Interdisipliner
54,50,50,91,73,74,59,4,2,2,1,1,S1 Teknologi Hasil Pertanian
69,64,60,71,56,53,73,5,1,1,1,0,S1 Informatika
75,76,78,50,80,50,65,1,1,4,2,0,S1 Manajemen
67,72,50,71,50,50,50,5,1,1,1,0,S1 Informatika
99,66,59,59,57,58,65,1,1,4,1,0,S1 Akuntansi
67,68,72,62,81,51,50,1,1,3,5,0,S1 Pendidikan Bahasa Inggris
73,75,51,50,50,68,59,2,1,3,1,0,S1 Manajemen
69,55,54,53,85,80,70,2,3,2,2,0,S1 Teknologi Hasil Pertanian
85,58,86,50,72,64,55,2,2,1,3,1,S1 Studi Islam Interdisipliner
69,66,72,52,50,51,85,2,1,4,2,0,S1 Akuntansi
73,50,66,58,91,70,50,1,5,3,2,0,S1 Farmasi
50,60,50,59,80,70,77,3,4,2,2,0,S1 Teknologi Hasil Pertanian
61,50,75,99,76,58,64,4,2,2,1,1,S1 Informatika
93,76,50,86,50,59,50,4,2,3,1,1,S1 Teknik Elektro
50,58,53,50,50,50,80,2,1,4,1,1,S1 Manajemen
88,69,53,86,50,61,61,4,1,3,1,0,S1 Teknik Elektro
55,67,50,86,59,56,50,5,2,2,1,0,S1 Teknik Elektro
63,62,50,72,51,77,92,1,1,3,1,0,S1 Akuntansi
59,60,54,51,57,63,57,2,3,3,2,0,S1 Akuntansi
70,80,50,62,50,50,81,1,1,4,1,0,S1 Akuntansi
55,62,80,50,57,69,63,1,3,2,4,1,S1 Studi Islam Interdisipliner
89,79,50,64,69,50,63,5,1,2,1,1,S1 Teknik Elektro
79,50,77,81,60,56,50,3,1,3,1,0,S1 Teknik Elektro
76,63,61,50,81,71,74,1,1,4,2,0,S1 Akuntansi
55,54,76,52,56,66,86,1,1,4,3,0,S1 Akuntansi
68,65,86,50,50,72,50,1,3,2,3,1,S1 Studi Islam Interdisipliner
63,80,55,63,50,51,51,1,2,5,1,0,S1 Akuntansi
55,51,68,55,69,64,55,2,1,2,3,0,S1 PGSD
86,99,71,67,50,78,69,1,3,2,4,0,S1 PGSD
80,68,61,57,66,83,50,1,3,3,1,1,S1 Farmasi
67,50,53,81,67,50,55,4,1,1,1,0,S1 Teknik Elektro
52,71,88,50,54,50,50,1,2,2,2,1,S1 Studi Islam Interdisipliner
58,88,59,54,71,80,54,1,4,1,2,1,S1 Farmasi
62,87,57,50,79,53,74,1,2,2,4,0,S1 Pendidikan Bahasa Inggris
90,62,51,80,63,66,61,4,2,1,1,0,S1 Teknik Elektro
66,69,66,91,68,50,50,4,1,3,1,1,S1 Teknik Elektro
50,67,70,60,90,71,68,2,3,2,2,1,S1 Farmasi
85,65,84,65,77,50,51,1,3,3,2,1,S1 Studi Islam Interdisipliner
50,100,69,81,63,53,51,1,1,1,4,0,S1 Pendidikan Bahasa Inggris
75,59,74,79,79,80,65,2,3,1,2,0,S1 Teknologi Hasil Pertanian
64,91,74,85,66,50,50,4,1,3,1,0,S1 Informatika
77,84,53,62,75,50,79,4,1,1,1,0,S1 Informatika
65,64,66,55,89,87,82,1,3,3,2,0,S1 Agribisnis
57,52,82,95,59,50,85,5,2,1,1,0,S1 Teknik Elektro
90,73,50,78,63,75,69,4,2,2,1,0,S1 Teknik Elektro
71,58,58,81,54,50,59,4,1,1,2,1,S1 Teknik Elektro
67,79,85,50,88,60,72,1,2,1,4,0,S1 Pendidikan Bahasa Inggris
76,84,78,50,54,62,72,1,1,2,5,0,S1 Pendidikan Bahasa Inggris
70,73,67,51,73,81,50,1,4,3,1,0,S1 Farmasi
50,51,89,50,63,65,50,1,2,2,3,1,S1 Studi Islam Interdisipliner
78,72,50,82,50,50,93,2,2,5,1,0,S1 Akuntansi
85,67,59,78,50,56,57,4,1,4,1,0,S1 Informatika
72,92,75,90,64,50,60,2,3,1,3,0,S1 Pendidikan Bahasa Inggris
81,68,86,56,76,50,59,1,1,2,4,0,S1 Studi Islam Interdisipliner
57,80,72,64,50,76,50,1,3,2,5,0,S1 Pendidikan Bahasa Inggris
70,64,50,50,50,57,83,2,2,5,2,0,S1 Manajemen
65,67,71,50,63,68,68,2,2,2,4,1,S1 PGSD
64,69,74,55,50,71,76,1,2,4,2,0,S1 Manajemen
58,70,72,63,54,69,67,1,2,3,4,1,S1 Pendidikan Bahasa Inggris
91,64,55,60,71,50,70,2,1,3,3,0,S1 Manajemen
68,70,73,56,74,66,52,3,4,1,3,0,S1 Farmasi
73,53,62,71,56,64,80,2,1,4,2,0,S1 Agribisnis
70,83,99,50,50,55,50,1,1,1,4,0,S1 Pendidikan Bahasa Inggris
89,50,50,72,56,57,79,4,1,2,1,0,S1 Informatika
68,53,69,52,50,70,50,4,1,4,1,0,S1 Informatika
76,81,64,63,50,78,76,1,1,1,3,1,S1 Pendidikan Bahasa Inggris
79,57,52,61,89,86,72,1,3,3,2,0,S1 Farmasi
88,68,62,54,50,79,70,1,1,3,1,0,S1 Manajemen
67,82,69,77,61,72,54,1,1,2,3,0,S1 PGSD
56,81,81,50,50,53,50,1,2,1,3,0,S1 Pendidikan Bahasa Inggris
80,68,57,83,67,62,75,4,2,2,1,0,S1 Informatika
67,71,50,74,57,50,69,5,1,1,1,0,S1 Informatika
75,62,92,78,50,53,50,4,1,2,1,0,S1 Informatika
75,59,50,73,72,81,50,3,3,1,2,0,S1 Teknologi Hasil Pertanian
50,51,74,50,72,59,61,1,3,3,4,0,S1 PGSD
64,73,50,50,72,72,51,2,4,2,3,0,S1 Farmasi
74,93,76,50,50,68,50,4,2,1,1,0,S1 Informatika
68,62,78,82,54,57,50,4,1,2,1,1,S1 Teknik Elektro
50,96,66,57,73,90,87,2,1,4,2,0,S1 Akuntansi
75,94,70,55,79,50,81,2,1,1,4,0,S1 Pendidikan Bahasa Inggris
76,50,61,53,50,81,68,1,2,2,2,0,S1 Agribisnis
85,64,71,72,50,50,50,2,1,4,1,0,S1 Akuntansi
73,66,81,68,73,59,50,1,2,2,4,1,S1 Studi Islam Interdisipliner
67,57,50,74,56,50,60,4,1,3,1,0,S1 Teknik Elektro
83,54,68,71,58,62,79,1,1,4,2,0,S1 Akuntansi
81,55,73,75,63,62,60,4,1,2,1,1,S1 Teknik Elektro
64,50,75,50,50,52,81,1,1,3,3,0,S1 Akuntansi
50,89,52,68,50,68,50,2,1,1,4,0,S1 Pendidikan Bahasa Inggris
67,57,75,73,50,50,75,1,1,4,1,0,S1 Akuntansi
91,83,78,77,50,51,52,1,1,2,4,0,S1 PGSD
60,50,53,84,74,50,55,5,1,2,1,0,S1 Teknik Elektro
84,73,63,50,56,64,50,2,2,1,4,0,S1 PGSD
69,56,64,61,63,55,64,2,2,3,1,0,S1 Agribisnis
50,50,93,50,63,50,79,1,3,2,3,1,S1 Studi Islam Interdisipliner
65,62,59,79,64,71,73,3,1,3,1,0,S1 Teknik Elektro
54,78,70,50,50,51,62,1,2,2,4,0,S1 Pendidikan Bahasa Inggris
80,82,71,86,61,71,65,4,2,3,1,0,S1 Teknik Elektro
81,60,68,79,50,71,61,1,1,5,2,0,S1 Akuntansi
64,64,79,50,78,76,50,1,3,2,3,1,S1 Studi Islam Interdisipliner
87,69,67,76,62,50,76,1,1,4,3,0,S1 Akuntansi
54,85,84,57,75,50,55,1,2,2,4,0,S1 Pendidikan Bahasa Inggris
85,70,57,54,84,81,66,1,4,1,2,0,S1 Farmasi
53,76,53,52,84,72,61,1,4,2,1,0,S1 Farmasi
77,82,63,64,50,50,91,2,1,4,1,0,S1 Akuntansi
69,62,69,60,89,50,84,1,1,4,2,0,S1 Akuntansi
64,50,61,55,57,74,77,1,1,1,3,0,S1 Agribisnis
63,73,75,64,67,57,50,1,2,2,4,1,S1 Studi Islam Interdisipliner
67,64,68,50,51,55,81,1,1,4,2,0,S1 Akuntansi
78,65,69,97,58,54,50,4,2,1,1,0,S1 Informatika
50,50,68,50,53,82,87,1,2,3,1,0,S1 Agribisnis
50,58,57,55,69,67,65,1,2,2,4,1,S1 Studi Islam Interdisipliner
58,50,69,52,50,50,77,1,2,4,2,0,S1 Akuntansi
50,71,58,50,50,84,86,2,3,3,3,0,S1 Agribisnis
73,76,85,68,61,54,50,5,1,2,1,1,S1 Informatika
73,61,89,93,87,50,64,3,2,1,1,0,S1 Teknik Elektro
79,65,52,71,56,52,61,5,1,2,1,0,S1 Teknik Elektro
50,71,93,50,82,50,84,1,3,3,3,1,S1 Studi Islam Interdisipliner
63,57,79,56,58,50,50,1,3,2,5,0,S1 PGSD
61,74,81,72,76,78,50,1,4,3,1,0,S1 Farmasi
50,50,91,50,55,53,60,1,1,3,3,1,S1 Studi Islam Interdisipliner
79,59,52,57,54,64,50,4,1,1,1,0,S1 Informatika
